,Comments
109,['9.6']
414,"['31.2', '7.5']"
2617,[]
2634,[]
2667,['27.69']
2897,['67.2']
2901,[]
2925,[]
2944,['195.84']
3056,[]
3066,[]
3118,[]
3145,['24.48']
3346,[]
3365,[]
3366,[]
3375,[]
3376,[]
3377,[]
3378,[]
3379,[]
3380,[]
3381,[]
3382,[]
3383,[]
3384,[]
3385,[]
3388,[]
3389,[]
3390,[]
3391,[]
3392,[]
3393,[]
3394,[]
3395,[]
3397,[]
3398,[]
3399,[]
3400,[]
3401,[]
3402,[]
3403,[]
3404,[]
3405,[]
3406,[]
3407,[]
3477,[]
3616,[]
3637,[]
3782,[]
3783,[]
3788,[]
3832,[]
3907,['1.94']
3908,['1.94']
3909,['1.94']
3910,['4.73']
3920,['4.73']
3922,['4.73']
3999,[]
4084,[]
4096,[]
4629,[]
4784,[]
4895,[]
4981,[]
5080,[]
5266,[]
5319,[]
5391,['19.86']
5394,['53.275']
5458,[]
5475,[]
5490,[]
5524,[]
5617,[]
5624,[]
5645,[]
5707,[]
5877,[]
6148,['22.05']
6514,[]
6875,['35.7']
6877,['5.46']
6883,['7.98']
6946,[]
7244,[]
7289,[]
7542,[]
7621,[]
8458,[]
8489,[]
8738,[]
9077,[]
9140,[]
9590,[]
9607,[]
9608,[]
10092,[]
10104,[]
10119,[]
10453,[]
10467,[]
11991,[]
13283,[]
13611,['1.925']
13653,[]
14280,[]
14692,['109.14']
14938,[]
15197,[]
15411,['64.26']
15929,['30.8']
16124,[]
16989,['7.5']
16990,['19.5']
17146,['26.9']
17196,"['000.00', '90.00']"
17439,[]
18682,[]
18702,['10.36']
18740,['6.12']
19044,['24.3']
19380,['24.3']
19415,"['32.55', '15.0']"
19576,[]
19629,['374.22']
19952,[]
20141,[]
20142,[]
20372,[]
21293,[]
21295,[]
21296,[]
21488,[]
22396,[]
22400,[]
22401,[]
22695,[]
22815,[]
22818,[]
22820,[]
22822,[]
23629,[]
23724,[]
23734,[]
24457,[]
24458,[]
24459,[]
24471,[]
24474,[]
24797,[]
24917,[]
25180,[]
25181,[]
25182,[]
25184,[]
25185,[]
25186,[]
25446,[]
26282,[]
26418,[]
26488,[]
26548,[]
26584,[]
26617,['6.5']
26719,['3.84']
26723,['5.85']
40326,[]
40327,[]
40344,[]
40401,[]
40530,[]
40665,[]
40667,[]
40733,[]
40747,[]
40976,['6.11']
41069,[]
41088,['4.8']
41346,['6.345']
41365,[]
41368,[]
41395,['7.05']
41451,['3.055']
41579,['3.05']
41582,[]
41673,['3.29']
41674,['8.46']
41680,['4.23']
41849,['4.23']
41850,['3.29']
41851,['3.29']
41995,[]
42084,['3.52']
42085,['5.64']
42086,['6.58']
42160,['3.05']
42162,['3.29']
42352,[]
42353,['3.29']
42439,[]
42488,['5.46']
42500,['3.76']
42657,['5.405']
42742,['3.99']
42745,['5.17']
42747,['4.23']
42749,['6.11']
42751,['5.64']
42752,['7.05']
42754,['6.58']
42756,['4.23']
42757,['5.39']
43035,[]
43200,[]
43217,[]
43233,['3.76']
43234,['4.9']
43235,['3.92']
43238,['3.29']
43239,['5.88']
43241,['2.94']
43242,['3.29']
43256,['5.64']
43321,['5.41']
43328,['6.86']
43330,['6.86']
43332,['3.05']
43512,['1.94']
43513,['1.94']
43514,['1.94']
43515,['4.73']
43538,['4.73']
43539,['4.73']
43557,['3.2']
43592,[]
43640,[]
43684,['3.18']
43717,[]
43761,[]
43844,['3.18']
43845,['3.18']
43846,['2.94']
43847,['4.23']
43880,[]
43890,['3.05']
43893,['4.9']
43927,['8.82']
43928,['3.29']
43952,[]
43970,['6.5']
44019,['4.9']
44020,['3.18']
44023,['5.39']
44195,[]
44201,['3.92']
44202,['3.92']
44203,['4.9']
